   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
 195  T 0   4.235e-02   0e+00  0.94  1.0e-01  6.0e-05  8.4e-02  2.7e-01
 196  T 0   4.233e-02   0e+00  0.94  9.3e-02  6.0e-05  8.7e-02  2.8e-01
 197  T 0   4.230e-02   0e+00  0.94  1.0e-01  6.0e-05  9.6e-02  2.6e-01
 198  T 0   4.228e-02   0e+00  0.94  1.0e-01  6.0e-05  8.6e-02  2.3e-01
 199  T 0   4.225e-02   0e+00  0.94  9.4e-02  6.0e-05  7.3e-02  2.3e-01
 200  T 0   4.222e-02   0e+00  0.94  1.0e-01  6.0e-05  7.7e-02  2.3e-01
 201  T 0   4.219e-02   0e+00  0.94  8.4e-02  6.0e-05  8.4e-02  2.4e-01
 202  T 0   4.216e-02   0e+00  0.94  9.3e-02  6.0e-05  7.7e-02  2.5e-01
 203  T 0   4.213e-02   0e+00  0.94  1.0e-01  6.0e-05  8.4e-02  2.5e-01
 204  T 0   4.210e-02   0e+00  0.94  9.3e-02  6.0e-05  7.3e-02  2.6e-01
 205  T 0   4.207e-02   0e+00  0.94  1.0e-01  6.0e-05  8.0e-02  2.6e-01
 206  T 0   4.203e-02   0e+00  0.94  8.8e-02  6.0e-05  8.8e-02  2.9e-01
 207  T 0   4.200e-02   0e+00  0.94  9.7e-02  6.0e-05  8.4e-02  2.8e-01
 208  T 0   4.196e-02   0e+00  0.94  1.0e-01  6.0e-05  8.4e-02  2.8e-01
 209  T 0   4.193e-02   0e+00  0.94  1.0e-01  6.0e-05  8.4e-02  2.7e-01
 210  T 0   4.189e-02   0e+00  0.94  1.0e-01  6.0e-05  7.7e-02  2.5e-01
 211  T 0   4.186e-02   0e+00  0.94  8.4e-02  6.0e-05  8.4e-02  2.7e-01
 212  T 0   4.182e-02   0e+00  0.94  9.3e-02  6.0e-05  8.4e-02  2.9e-01
 213  T 0   4.178e-02   0e+00  0.94  1.0e-01  6.0e-05  8.4e-02  2.8e-01
 214  T 0   4.175e-02   0e+00  0.94  1.0e-01  6.0e-05  7.7e-02  2.8e-01
 215  T 0   4.171e-02   0e+00  0.94  1.0e-01  6.0e-05  8.4e-02  2.8e-01
 216  T 0   4.166e-02   0e+00  0.94  9.3e-02  6.0e-05  8.4e-02  3.0e-01
 217  T 0   4.162e-02   0e+00  0.94  1.0e-01  6.0e-05  7.7e-02  3.0e-01
 218  T 0   4.158e-02   0e+00  0.94  1.0e-01  6.0e-05  8.4e-02  3.0e-01
 219  T 0   4.154e-02   0e+00  0.94  9.3e-02  6.0e-05  8.8e-02  3.2e-01
 220  T 0   4.150e-02   0e+00  0.94  1.0e-01  6.0e-05  7.8e-02  3.0e-01
 221  T 0   4.146e-02   0e+00  0.94  1.0e-01  6.0e-05  8.6e-02  2.8e-01
 222  T 0   4.142e-02   0e+00  0.94  7.0e-02  6.0e-05  7.0e-02  2.9e-01
 223  T 0   4.137e-02   0e+00  0.94  7.7e-02  6.0e-05  7.7e-02  3.0e-01
 224  T 0   4.132e-02   0e+00  0.94  8.4e-02  5.9e-05  8.4e-02  3.3e-01
 225  T 0   4.128e-02   0e+00  0.95  9.3e-02  5.9e-05  8.9e-02  3.5e-01
 226  T 0   4.123e-02   0e+00  0.95  1.0e-01  5.9e-05  7.7e-02  3.6e-01
 227  T 0   4.117e-02   0e+00  0.95  1.0e-01  5.8e-05  8.4e-02  3.8e-01
 228  T 0   4.112e-02   0e+00  0.95  9.3e-02  5.8e-05  9.3e-02  4.1e-01
 229  T 0   4.106e-02   0e+00  0.95  1.0e-01  5.7e-05  8.4e-02  4.3e-01
 230  T 0   4.101e-02   0e+00  0.95  1.0e-01  5.7e-05  8.4e-02  4.5e-01
 231  T 0   4.095e-02   0e+00  0.95  1.0e-01  5.6e-05  8.4e-02  4.5e-01
